A1100a,A1100b,A1100c,D1100a,D1100b,D1100c
13.294045,0,13.484822,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.977817,13.807154,13.883598,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,11.793197,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,12.073472,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,13.918304,14.437947,13.834075
0,0,0,12.984063,13.063901,12.984774
0,0,0,0,0,0
0,0,0,0,0,0
13.976474,13.510888,13.561169,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.972082,12.90858,0,0,0,0
0,0,0,0,0,0
13.9309225,14.110321,13.641148,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-7.4503627,-7.4503627,-7.4503627,-7.4503627,-7.4503627,-7.4503627
0,0,0,0,0,0
0,0,0,0,0,0
12.284246,0,0,0,0,0
0,0,0,0,0,0
7.4337115,7.391395,7.366565,6.3094745,6.2602544,6.1081834
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,14.033509,13.811875,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.813781,12.786065,12.684311,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,14.502521,14.340059,14.515576
0,0,0,0,0,0
15.017505,15.031055,15.00365,12.46786,13.07765,12.433846
0,0,0,0,0,0
